Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Kode_Bahasa,Format_Buku,Ebook,Penerbit
7432,312426216,"Pardonable Lies (Maisie Dobbs, #3)",[Jacqueline Winspear],2006,22059,4.09,359,1608,eng,Paperback,FALSE,Picador USA
7433,805078983,"Messenger of Truth (Maisie Dobbs, #4)",[Jacqueline Winspear],,15533,3.99,322,1193,eng,,FALSE,
7435,1582881588,"Maisie Dobbs and Birds of a Feather (Maisie Dobbs, #1 & #2)",[Jacqueline Winspear],,1313,4.25,623,59,en-US,Paperback,FALSE,
7437,802140181,Naked Lunch,"[William S. Burroughs, James Grauerholz, Barry Miles]",2004,62485,3.44,289,2423,eng,Paperback,FALSE,Grove Press
7438,586085602,Naked Lunch,"[William S. Burroughs, J.G. Ballard]",1993,595,3.44,201,48,eng,,FALSE,Flamingo
7439,7204442,Naked Lunch: The Restored Text,[William S. Burroughs],2005,484,3.44,289,62,eng,,FALSE,HarperCollins Publishers
7440,081081398X,Contemporary Literary Censorship: The Case History of Burroughs' Naked Lunch,[Michael B. Goodman],1981,3,4.67,330,0,,Hardcover,FALSE,Scarecrow Press
7442,553380648,The Electric Kool-Aid Acid Test,[Tom Wolfe],,60092,3.92,416,1485,eng,,FALSE,
7443,553140949,The Electric Kool-Aid Acid Test,[Tom Wolfe],1980,136,3.92,376,8,,Paperback,FALSE,Bantam
7444,965079929,The Electric Kool-aid Acid Test/The Kandy Kolored Tangerine Flake Streamline Baby/Radical Chic & Mau Mauing the Flak Catchers,[Tom Wolfe],1990,291,3.97,943,13,eng,Paperback,FALSE,Quality Paperback Book Club
7445,074324754X,The Glass Castle,[Jeannette Walls],2006,767308,4.26,288,44871,eng,Paperback,FALSE,Scribner
7446,1844081818,The Glass Castle,[Jeannette Walls],,182,4.26,352,40,eng,Hardcover,FALSE,Not Avail
7447,739458213,The Glass Castle,[Jeannette Walls],,543,4.26,288,84,eng,,FALSE,
7449,708961142,The Glass Castle,[Violet Winspear],1985,282,3.89,304,42,,Paperback,FALSE,Linford Romance
7452,743457307,Sex and the City: Kiss and Tell,"[Amy Sohn, Sarah Wildman, Sarah Jessica Parker, Melcher Media]",2004,4259,4.01,184,72,,Paperback,FALSE,Gallery Books
