,Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Format_Buku,Ebook,Penerbit,Jumlah_Penulis
147,215,1400032504,The Way We Die Now,"['Charles Willeford', 'Donald E. Westlake']",2005,609,4.06,256,58,Paperback,False,Vintage Crime/Black Lizard,2
148,216,1400032466,Miami Blues (Hoke Moseley #1),"['Charles Willeford', 'Elmore Leonard']",2004,2787,3.94,191,162,Paperback,False,Vintage Crime/Black Lizard,2
150,218,1842430017,The Woman Chaser,['Charles Willeford'],1960,472,3.94,192,45,Paperback,False,Newstand Library,1
151,219,1568582102,The Machine in Ward Eleven,['Charles Willeford'],2001,123,3.57,160,14,Paperback,False,Thunder's Mouth Press,1
152,221,1400032474,Wild Wives,['Charles Willeford'],2009,337,3.7,102,43,Paperback,False,Vintage Crime/Black Lizard,1
153,222,1400032512,The Shark-Infested Custard,['Charles Willeford'],2005,488,3.81,272,58,Paperback,False,Vintage Crime/Black Lizard,1
154,224,1930997353,The Black Mass of Brother Springer,"['Charles Willeford', 'James Sallis']",2003,140,4.0,208,7,Paperback,False,Wit's End Books,2
155,226,896724409,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,['Kirby Olson'],2001,7,4.14,184,0,Hardcover,False,Texas Tech University Press,1
156,228,1596542225,Cockfighter,['Charles Willeford'],2005,992,4.11,200,59,Paperback,False,Blackmask.com,1
157,229,345349474,"Sideswipe (Hoke Moseley, #3)",['Charles Willeford'],1988,24,4.04,279,3,Mass Market Paperback,False,Ballantine Books,1
158,230,679732527,The Burnt Orange Heresy (Vintage Crime/Black Lizard),['Charles Willeford'],1990,98,3.9,144,12,Paperback,False,Vintage,1
159,231,312424442,I am Charlotte Simmons,['Tom Wolfe'],2005,20615,3.42,738,1669,Paperback,False,Picador USA,1
160,234,142002275,The Complete Verse and Other Nonsense,"['Edward Lear', 'Vivien Noakes']",2002,898,4.18,624,27,Paperback,False,Penguin Books,2
161,236,089190090X,The Complete Nonsense of Edward Lear,['Edward Lear'],1940,387,4.04,287,35,Hardcover,False,Amereon Limited,1
162,237,806930772,Poetry for Young People: Edward Lear,"['Edward Lear', 'Laura Huliska-Beith', 'Edward Mendelson']",2001,64,3.9,48,18,Hardcover,False,Sterling,3
163,239,60281138,An Edward Lear Alphabet,"['Edward Lear', 'Vladimir Radunsky']",1999,35,3.43,32,8,Hardcover,False,HarperCollins Publishers,2
164,241,439660564,A Was Once an Apple Pie,"['Edward Lear', 'Suse MacDonald']",2005,183,3.37,32,61,Hardcover,False,Orchard Books,2
165,242,698113675,The Owl and the Pussycat,"['Edward Lear', 'Jan Brett']",1996,71,4.2,32,8,Paperback,False,Puffin Books,2
166,243,246128828,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),['Edward Lear'],1986,41,4.62,24,6,Paperback,False,HarperCollins Publishers,1
167,244,140366601,The Puffin Book of Nonsense Verse,['Quentin Blake'],1996,80,4.06,287,6,Paperback,False,Puffin,1
168,245,811201120,Henry Miller on Writing,"['Henry Miller', 'Thomas H. Moore']",1964,946,4.22,217,49,Paperback,False,New Directions Publishing,2
169,246,811201090,The Colossus of Maroussi,['Henry Miller'],1975,2512,3.98,244,197,Paperback,False,New Directions,1
170,247,080213016X,Quiet Days in Clichy,['Henry Miller'],1994,3277,3.69,154,135,Paperback,False,Grove Press,1
171,248,811201074,Big Sur and the Oranges of Hieronymus Bosch,['Henry Miller'],1957,2378,4.01,400,133,Paperback,False,New Directions,1
172,249,802131786,Tropic of Cancer,"['Henry Miller', 'Jiří Níl']",1994,51960,3.69,318,2299,Paperback,False,Grove Press,2
173,250,802151825,Tropic of Capricorn,['Henry Miller'],1994,14402,3.79,348,449,Paperback,False,Grove Press,1
174,251,802151787,"Nexus (The Rosy Crucifixion, #3)",['Henry Miller'],1994,3197,4.09,316,54,Paperback,False,Grove Press,1
175,252,802151809,"Sexus (The Rosy Crucifixion, #1)",['Henry Miller'],1994,7481,3.99,506,247,Paperback,False,Grove Press,1
176,253,811201066,The Air-Conditioned Nightmare,['Henry Miller'],1970,2645,3.83,292,139,Paperback,False,New Directions,1
177,254,811201155,The Time of the Assassins:  a Study of Rimbaud,['Henry Miller'],1962,791,3.94,160,55,Paperback,False,New Directions,1
178,255,750636327,Public Places-Urban Spaces: The Dimensions of Urban Design,['Matthew Carmona'],2003,94,4.13,320,6,Paperback,False,Architectural Press,1
179,256,29119405,Behavior in Public Places,['Erving Goffman'],1966,200,4.1,248,5,Paperback,False,Free Press,1
180,257,1592284159,Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,['Charles A. Coulombe'],2004,19,3.42,288,1,Paperback,False,Lyons Press,1
181,258,571211194,"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",['Sian Phillips'],2004,35,3.85,441,6,Paperback,False,Faber & Faber,1
182,259,520245237,Together Alone: Personal Relationships in Public Places,"['Calvin Morrill', 'David A. Snow', 'Cindy White']",2005,10,3.5,320,1,Paperback,False,University of California Press,3
183,260,826330045,Squares: A Public Place Design Guide for Urbanists,['Mark C. Childs'],2006,4,3.78,208,0,Paperback,False,University of New Mexico Press,1
184,261,687495679,Just in Time! Pastoral Prayers in Public Places,['F. Belton Joyner Jr.'],2006,5,3.8,80,0,Paperback,False,Abingdon Press,1
