,Tweets
181,"Baru mati beberapa jam aj ributnya minta ampun. Maen2 ke sini.....😅
#matilampulagi #PLNDown #matilampu https://t.co/i5kwOizOEe"
182,"#MatiLampu #MatiLampuJakarta jadi #trendingtopic, setelah Jabodetabek sempat mengalami #matilampulagi lebih dari 10… https://t.co/zvI9s17RpG"
183,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
184,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
185,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
186,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
187,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
188,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
189,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
190,"@infoPLN sebagai laki-laki saya merasa kita memiliki kesamaan, kita selalu salah :) #matilampu #matilampulagi"
191,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
192,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
193,@Dsrrdz Kaga bakal ada tuh yang namanya #matilistrik #matilampu #matilampulagi #matilistriklagi aman tentram Damai… https://t.co/7vOWXzjgg0
194,"RT @kachaww_: Mengatasi polusi di jakarta :
Menggunakan kendaraan umum ❌
Mengurangi konsumsi plastik❌
Menanam tumbuhan lidah mertua❌
Mati l…"
195,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
196,"RT @deanlynx: Renungan gaes...
#matilampu
#matilampulagi 
#jakartablackout 
#PLNDown https://t.co/cnGJvWbNBG"
197,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
198,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
199,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
200,"Ciee yg lagi tranining sebelum ibu kota pindah :')
#matilampulagi #matilampu"
201,"Sehari nyala, eh padam lagi. Bumi indah pasar kemis tangerang tahap 2,3,4,5 dan sekitarnya. Du du duuh ~ @pln_123… https://t.co/58KjSfIQdJ"
202,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
203,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
204,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
205,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
206,"Waktu listrik mati lama kemarin, Bu Sastro sempet kebingungan sama isi kulkas. Takut bahan makanan jadi layu. Ada y… https://t.co/ILkiKlSbXm"
207,Gaes! BMKG Tegaskan Gempa Banten Bukan Penyebab Listrik Padam https://t.co/uXrV6CvIUT #BMKG #matilampu… https://t.co/aetrJBwbt1
208,"RT @ariefrachman_31: Dibalik kerja keras mereka, terdapat pejabat-pejabat tingginya yg korupsi dan memperkaya dirinya sendiri 😣

#matilampu…"
209,"RT @zaradyt: MOHON DI BACA YA MAMAS2 DAN MBAE2 NETIJEN!
Yang kirim/upload photo teknisi akrobat atau apalah, SEKALI LAGI YANG DI KRITIK ATA…"
210,"Mati lampu 8 jam heboh dan trending di sosmed.
Nah orang yang di kampung2 ga ada listrik aja ga ngeluh.… https://t.co/XE11HQC0Pw"
